district,medianVoterIdeologyStr,actualVoterSatisfactionStr,primaryIdeologyStr,primaryPartyStr,primarySatisfactionStr,irPrimaryIdeologyStr,irPrimaryPartyStr,irPrimarySatisfactionStr,h2hPrimaryIdeologyStr,h2hPrimaryPartyStr,h2hPrimarySatisfactionStr,instantRunoffIdeologyStr,instantRunoffPartyStr,instantRunoffSatisfactionStr,headToHeadIdeologyStr,headToHeadPartyStr,headToHeadSatisfactionStr,final5IdeologyStr,final5PartyStr,final5SatisfactionStr
NY-24,-4.885,56.600,-25.59,Dem,62.20,-41.05,Dem,37.79,-50.25,Dem,26.13,-15.01,Dem,81.41,-5.83,Dem,98.49,-10.20,Dem,90.25
NY-25,-9.025,57.600,-45.68,Dem,35.60,-55.81,Dem,23.12,17.90,Rep,53.47,-21.72,Dem,76.18,-9.00,Dem,99.90,-25.86,Dem,68.54
NY-26,-12.248,57.600,-31.60,Dem,63.20,-43.61,Dem,43.17,-45.27,Dem,40.36,-25.46,Dem,74.90,-12.36,Dem,100.00,-36.97,Dem,54.02
NY-27,9.230,52.400,30.00,Rep,62.00,21.01,Rep,78.11,60.24,Rep,18.88,9.19,Rep,100.00,9.13,Rep,99.60,9.33,Rep,99.80
NC-01,-17.247,55.200,-47.68,Dem,42.60,-63.22,Dem,21.71,-62.58,Dem,22.51,-22.07,Dem,90.45,-17.41,Dem,99.90,-22.35,Dem,90.05
NC-02,3.260,15.200,48.87,Rep,26.60,48.44,Rep,26.31,49.80,Rep,24.90,17.80,Rep,73.49,3.34,Rep,99.60,28.27,Rep,55.22
NC-03,11.396,75.800,57.98,Rep,23.40,-13.95,Dem,55.82,38.07,Rep,50.80,29.06,Rep,66.67,11.14,Rep,99.60,19.51,Rep,84.54
NC-04,-18.295,68.000,-46.95,Dem,45.20,-38.55,Dem,60.30,-66.43,Dem,19.30,-47.63,Dem,44.22,-31.56,Dem,73.57,-52.23,Dem,36.78
NC-05,8.777,16.800,66.73,Rep,14.00,67.91,Rep,12.26,46.20,Rep,34.97,-12.85,Dem,61.51,8.69,Rep,99.90,28.84,Rep,62.71
NC-06,7.485,15.200,41.52,Rep,40.60,51.60,Rep,26.51,37.05,Rep,46.99,11.08,Rep,93.17,18.51,Rep,79.12,18.16,Rep,79.92
NC-07,8.757,22.400,41.24,Rep,43.00,48.98,Rep,31.16,26.90,Rep,66.33,-12.83,Dem,61.71,8.80,Rep,99.90,7.69,Rep,98.09
NC-08,7.416,20.400,37.88,Rep,46.60,52.86,Rep,25.13,32.79,Rep,53.87,7.33,Rep,99.50,7.48,Rep,99.90,38.77,Rep,44.22
NC-09,5.637,4.000,28.98,Rep,58.60,57.95,Rep,18.49,42.63,Rep,36.58,5.57,Rep,99.90,5.61,Rep,99.90,34.16,Rep,49.05
NC-10,12.494,27.600,47.70,Rep,37.60,31.67,Rep,63.65,38.92,Rep,50.80,-15.49,Dem,51.61,12.44,Rep,99.80,-2.16,Dem,73.09
NC-11,14.260,22.800,42.23,Rep,48.40,45.52,Rep,42.37,61.04,Rep,21.49,14.32,Rep,99.60,14.33,Rep,99.60,43.91,Rep,44.78
NC-12,-19.308,47.200,-48.91,Dem,43.40,-45.77,Dem,48.80,-65.75,Dem,20.68,-43.91,Dem,52.21,-19.24,Dem,99.80,-39.23,Dem,60.64
NC-13,4.675,12.000,-19.17,Dem,57.80,-10.39,Dem,72.76,19.61,Rep,72.56,-8.71,Dem,75.78,4.70,Rep,99.90,-12.38,Dem,69.35
ND-01,14.040,43.400,46.52,Rep,41.40,52.68,Rep,31.76,35.88,Rep,58.49,45.85,Rep,41.41,25.85,Rep,77.19,30.58,Rep,68.34
OH-01,3.225,18.400,29.74,Rep,53.60,-22.89,Dem,54.47,46.65,Rep,28.74,26.08,Rep,58.89,10.61,Rep,86.63,3.18,Rep,99.90
OH-02,6.952,23.200,33.59,Rep,52.60,36.06,Rep,47.79,-33.80,Dem,33.94,28.64,Rep,60.24,6.82,Rep,99.80,18.60,Rep,78.31
OH-03,-19.689,54.000,-48.22,Dem,45.00,-39.39,Dem,60.90,-56.15,Dem,32.96,-24.99,Dem,89.25,-19.81,Dem,99.70,-19.72,Dem,99.70
OH-04,12.016,11.800,44.32,Rep,42.20,47.27,Rep,37.15,41.24,Rep,46.18,21.19,Rep,82.53,12.06,Rep,99.60,38.50,Rep,50.80
OH-05,8.767,28.600,73.41,Rep,9.80,37.91,Rep,47.44,54.01,Rep,25.13,42.23,Rep,40.80,24.35,Rep,70.95,-7.84,Dem,69.95
OH-06,13.854,46.000,32.78,Rep,64.20,39.65,Rep,51.41,58.32,Rep,24.30,13.93,Rep,99.60,23.83,Rep,80.72,13.97,Rep,99.60
OH-07,9.908,35.400,32.70,Rep,58.40,25.64,Rep,70.55,36.07,Rep,52.06,31.72,Rep,59.50,6.18,Rep,93.07,22.81,Rep,75.78
OH-08,15.013,14.000,50.66,Rep,36.00,52.16,Rep,33.33,48.04,Rep,39.36,14.94,Rep,100.00,16.86,Rep,96.18,14.84,Rep,100.00
OH-09,-14.651,61.000,-49.25,Dem,37.20,-42.97,Dem,47.19,-50.80,Dem,34.94,-18.05,Dem,93.78,-22.42,Dem,84.94,-29.53,Dem,71.49
OH-10,2.242,56.800,31.63,Rep,49.40,36.10,Rep,41.61,38.02,Rep,38.99,-15.95,Dem,67.14,2.25,Rep,99.90,27.58,Rep,55.08
OH-11,-30.803,43.400,-33.11,Dem,94.60,-73.21,Dem,21.69,-60.15,Dem,39.96,-24.90,Dem,87.15,-30.70,Dem,99.60,-30.75,Dem,99.60
OH-12,5.607,34.800,49.44,Rep,28.00,34.36,Rep,48.80,32.22,Rep,52.01,5.65,Rep,99.80,5.78,Rep,99.60,34.03,Rep,49.20
OH-13,-8.523,43.200,11.04,Rep,66.00,30.08,Rep,36.98,-41.34,Dem,41.61,-8.97,Dem,99.10,1.42,Dem,82.01,-8.56,Dem,99.70
OH-14,3.694,60.000,25.15,Rep,62.00,37.24,Rep,41.81,27.02,Rep,58.09,24.27,Rep,62.91,16.46,Rep,76.58,41.54,Rep,35.78
OH-15,5.369,56.400,-29.41,Dem,41.40,32.17,Rep,51.86,42.13,Rep,36.78,15.91,Rep,80.60,5.38,Rep,99.90,15.83,Rep,80.60
OH-16,6.274,58.800,48.09,Rep,31.00,22.08,Rep,70.95,-36.22,Dem,31.56,6.40,Rep,99.70,6.21,Rep,99.90,-14.76,Dem,62.51
OK-01,15.018,16.200,50.84,Rep,35.80,64.05,Rep,19.28,46.98,Rep,41.16,15.11,Rep,99.80,27.97,Rep,74.90,33.20,Rep,65.06
OK-02,20.952,42.400,61.89,Rep,27.20,42.73,Rep,56.68,59.31,Rep,29.75,44.50,Rep,53.67,21.17,Rep,99.70,22.47,Rep,96.88
OK-03,24.475,76.000,31.08,Rep,86.60,60.70,Rep,31.53,58.15,Rep,35.14,24.49,Rep,99.80,17.62,Rep,86.35,24.35,Rep,100.00
OK-04,17.674,70.400,71.90,Rep,14.80,46.68,Rep,45.03,64.66,Rep,20.50,21.84,Rep,91.86,18.62,Rep,98.09,17.67,Rep,99.90
OK-05,8.090,55.000,38.41,Rep,46.40,34.44,Rep,52.06,53.61,Rep,24.92,33.11,Rep,54.27,8.11,Rep,99.90,30.49,Rep,58.89
OR-01,-9.934,46.600,-33.16,Dem,56.80,-55.23,Dem,24.70,-51.93,Dem,28.51,-22.37,Dem,76.71,-9.78,Dem,99.80,-40.01,Dem,45.58
OR-02,9.126,56.000,52.47,Rep,27.80,26.47,Rep,67.54,40.44,Rep,44.02,54.72,Rep,24.52,21.73,Rep,76.38,9.19,Rep,99.90
OR-03,-23.259,60.000,-52.23,Dem,42.80,-43.43,Dem,59.10,-59.83,Dem,31.16,-22.39,Dem,98.29,-23.31,Dem,99.70,-25.79,Dem,94.67
OR-04,-1.722,31.600,-43.77,Dem,30.40,-33.90,Dem,44.18,44.57,Rep,26.10,-12.34,Dem,80.52,8.06,Rep,82.13,8.03,Rep,82.13
OR-05,-1.804,68.800,-24.24,Dem,59.60,-56.21,Dem,17.27,38.50,Rep,33.53,13.21,Rep,72.69,-10.51,Dem,83.94,17.33,Rep,65.46
PA-01,-0.942,67.200,50.64,Rep,21.80,-20.96,Dem,64.12,-44.39,Dem,29.15,20.10,Rep,62.31,-0.80,Dem,99.70,-13.00,Dem,78.19
PA-02,-24.907,69.400,-52.48,Dem,45.00,-44.41,Dem,60.04,-50.94,Dem,47.79,-25.07,Dem,99.80,-24.98,Dem,100.00,-24.89,Dem,99.80
PA-03,-38.524,83.600,-53.25,Dem,65.60,-52.93,Dem,66.67,-57.68,Dem,56.63,-29.70,Dem,79.52,-38.70,Dem,99.80,-32.96,Dem,86.95
PA-04,-8.294,26.000,-37.74,Dem,46.80,-43.38,Dem,38.39,-47.00,Dem,33.37,19.87,Rep,51.46,-8.55,Dem,99.30,-8.47,Dem,99.50
PA-05,-14.285,36.800,-46.76,Dem,40.60,-36.98,Dem,57.23,-60.42,Dem,22.49,-23.04,Dem,83.53,-20.40,Dem,88.55,-14.24,Dem,99.40
PA-06,-3.074,50.200,29.20,Rep,45.60,-30.39,Dem,51.66,28.61,Rep,45.63,-3.14,Dem,99.90,-3.14,Dem,99.90,-18.99,Dem,70.95
PA-07,-2.076,42.800,31.01,Rep,44.60,-26.21,Dem,57.09,-39.81,Dem,36.38,-8.63,Dem,87.84,-14.42,Dem,77.19,-16.47,Dem,73.97
PA-08,-0.594,38.200,36.07,Rep,39.00,-19.77,Dem,65.53,24.59,Rep,55.68,14.35,Rep,72.96,-0.62,Dem,99.90,23.07,Rep,58.29
PA-09,12.593,25.600,46.55,Rep,39.40,41.33,Rep,46.99,47.57,Rep,37.15,23.03,Rep,79.92,12.87,Rep,99.20,-9.23,Dem,61.24
PA-10,3.997,14.800,44.83,Rep,32.60,-21.05,Dem,56.48,35.56,Rep,44.82,4.03,Rep,99.90,4.11,Rep,99.70,21.75,Rep,67.74
PA-11,12.243,46.000,29.22,Rep,68.20,61.67,Rep,19.48,42.10,Rep,45.18,19.12,Rep,86.75,12.31,Rep,99.80,-4.67,Dem,69.28
PA-12,15.218,41.000,45.01,Rep,45.00,62.67,Rep,20.88,54.37,Rep,30.52,36.27,Rep,59.64,15.70,Rep,99.00,15.14,Rep,100.00
PA-13,19.869,36.600,40.50,Rep,59.80,65.49,Rep,21.31,43.17,Rep,54.07,20.32,Rep,99.10,18.21,Rep,96.68,20.38,Rep,98.89
PA-14,11.645,57.200,53.20,Rep,29.60,52.36,Rep,29.95,42.74,Rep,43.62,-11.80,Dem,58.49,11.70,Rep,99.90,35.75,Rep,55.28
PA-15,17.435,73.800,39.23,Rep,58.00,54.24,Rep,33.13,48.56,Rep,41.57,17.51,Rep,99.80,17.41,Rep,100.00,17.47,Rep,99.80
PA-16,6.343,50.200,36.17,Rep,47.40,-34.95,Dem,33.13,48.91,Rep,28.92,6.25,Rep,99.80,12.47,Rep,88.55,35.34,Rep,48.19
PA-17,1.786,75.000,-18.34,Dem,64.00,39.52,Rep,36.18,-22.25,Dem,57.69,22.02,Rep,63.52,4.71,Rep,94.67,23.34,Rep,61.31
PA-18,-13.673,63.000,-53.45,Dem,30.40,-40.93,Dem,49.45,-48.42,Dem,37.59,-13.68,Dem,99.90,-15.38,Dem,96.88,-13.51,Dem,99.50
RI-01,-14.769,53.400,-58.05,Dem,25.40,-47.40,Dem,40.20,-48.72,Dem,38.19,-42.79,Dem,47.44,-20.64,Dem,88.64,-14.78,Dem,99.90
RI-02,-7.117,45.600,-36.84,Dem,46.80,-44.57,Dem,35.54,-29.47,Dem,59.04,-34.56,Dem,50.80,-21.12,Dem,74.30,-44.03,Dem,36.14
SC-01,7.851,64.400,48.91,Rep,31.20,18.60,Rep,80.00,44.58,Rep,36.18,22.03,Rep,73.77,7.54,Rep,99.50,-18.98,Dem,53.27
SC-02,11.019,28.400,29.22,Rep,66.40,47.03,Rep,36.38,39.72,Rep,47.64,14.15,Rep,94.27,10.96,Rep,99.70,31.88,Rep,60.90
SC-03,17.072,13.400,40.58,Rep,55.20,50.92,Rep,37.55,35.55,Rep,63.86,17.22,Rep,99.60,17.03,Rep,100.00,45.18,Rep,46.59
SC-04,13.045,23.400,47.30,Rep,38.80,42.19,Rep,46.18,50.91,Rep,32.93,22.62,Rep,81.53,13.00,Rep,100.00,37.23,Rep,54.42
SC-05,7.604,7.000,36.07,Rep,49.60,29.34,Rep,60.30,45.62,Rep,34.37,7.57,Rep,99.90,14.49,Rep,87.04,44.80,Rep,35.58
SC-06,-20.665,49.200,-81.75,Dem,8.60,-41.83,Dem,57.69,-47.12,Dem,48.44,-20.88,Dem,99.50,-20.75,Dem,99.70,-22.60,Dem,95.88
SC-07,7.167,18.200,53.45,Rep,25.20,-21.50,Dem,50.60,41.77,Rep,39.36,38.79,Rep,43.98,9.73,Rep,95.38,10.16,Rep,94.58
SD-01,12.042,35.600,33.20,Rep,60.60,40.52,Rep,47.59,45.02,Rep,40.36,43.30,Rep,43.17,18.55,Rep,87.55,21.94,Rep,81.12
TN-01,25.211,53.000,70.50,Rep,20.80,40.83,Rep,67.47,53.99,Rep,42.77,50.55,Rep,48.80,25.22,Rep,99.80,13.27,Rep,76.10
TN-02,17.785,15.400,36.88,Rep,63.20,58.02,Rep,28.31,43.97,Rep,49.80,37.63,Rep,61.04,17.87,Rep,99.80,21.74,Rep,92.17
TN-03,15.849,45.000,37.10,Rep,59.80,-15.43,Dem,46.23,56.35,Rep,28.74,15.70,Rep,99.70,24.65,Rep,82.81,15.94,Rep,99.70
TN-04,17.996,29.400,37.47,Rep,62.60,28.21,Rep,79.80,55.71,Rep,31.76,50.52,Rep,39.20,18.01,Rep,99.90,45.08,Rep,48.24
TN-05,-7.916,84.400,-43.10,Dem,38.20,11.33,Rep,65.33,-46.39,Dem,33.77,-7.85,Dem,99.70,-7.88,Dem,99.90,-7.94,Dem,99.90
TN-06,21.677,20.600,63.67,Rep,25.40,48.03,Rep,48.19,51.52,Rep,42.17,34.48,Rep,73.90,13.95,Rep,84.74,12.19,Rep,81.73
TN-07,17.805,14.600,56.04,Rep,31.80,43.25,Rep,51.00,29.39,Rep,77.11,-0.96,Dem,65.46,17.68,Rep,99.80,19.59,Rep,96.39
TN-08,17.092,35.000,58.77,Rep,27.60,62.77,Rep,22.11,37.45,Rep,60.50,17.09,Rep,99.90,17.22,Rep,99.70,39.43,Rep,56.68
TN-09,-27.570,73.200,-56.98,Dem,40.80,-63.84,Dem,30.52,-60.11,Dem,35.94,-27.47,Dem,99.80,-23.17,Dem,90.96,-27.54,Dem,99.80
TX-01,22.200,27.800,53.13,Rep,41.20,64.92,Rep,23.92,37.52,Rep,68.54,49.69,Rep,45.83,29.33,Rep,85.23,22.34,Rep,99.50
TX-02,9.220,46.600,-13.43,Dem,59.80,42.32,Rep,41.16,46.54,Rep,34.94,9.31,Rep,99.80,9.17,Rep,99.80,28.28,Rep,64.66
TX-03,11.024,26.600,52.85,Rep,29.40,64.74,Rep,15.88,40.82,Rep,46.03,47.19,Rep,36.18,11.00,Rep,99.70,48.62,Rep,34.17
TX-04,24.799,21.800,46.55,Rep,56.20,62.22,Rep,29.72,48.66,Rep,51.81,25.09,Rep,99.40,24.76,Rep,99.80,24.75,Rep,99.80
TX-05,14.636,12.200,63.18,Rep,20.40,37.28,Rep,56.63,40.32,Rep,51.41,15.73,Rep,97.79,14.61,Rep,100.00,24.78,Rep,80.12
TX-06,7.370,9.400,36.96,Rep,48.00,36.38,Rep,48.04,28.31,Rep,61.51,37.72,Rep,46.03,23.62,Rep,70.15,-16.54,Dem,57.89
TX-07,5.105,24.800,53.36,Rep,23.40,36.92,Rep,44.18,-36.80,Dem,32.13,38.94,Rep,40.96,5.04,Rep,99.80,-12.00,Dem,69.48
TX-08,25.094,46.200,69.10,Rep,22.40,58.15,Rep,35.98,50.59,Rep,48.64,31.90,Rep,85.83,26.45,Rep,97.29,30.32,Rep,89.05
TX-09,-28.043,66.600,-55.31,Dem,44.40,-34.13,Dem,87.15,-39.64,Dem,75.30,-27.88,Dem,99.40,-28.02,Dem,99.80,-28.20,Dem,99.80
TX-10,7.451,37.600,18.66,Rep,79.60,44.25,Rep,36.14,-31.28,Dem,36.55,21.34,Rep,74.10,19.62,Rep,77.31,7.60,Rep,99.60
TX-11,28.282,39.200,33.38,Rep,89.40,58.40,Rep,39.60,48.87,Rep,56.48,28.24,Rep,99.90,22.25,Rep,87.64,28.28,Rep,99.90
TX-12,16.176,55.600,49.95,Rep,38.80,50.86,Rep,36.58,44.79,Rep,46.23,35.13,Rep,63.12,19.02,Rep,94.47,57.91,Rep,26.93
TX-13,29.645,52.600,46.01,Rep,65.20,60.26,Rep,38.15,68.07,Rep,26.71,29.30,Rep,99.40,41.05,Rep,75.10,29.53,Rep,99.80
TX-14,9.892,11.800,35.02,Rep,54.60,51.48,Rep,29.15,37.43,Rep,49.65,9.95,Rep,99.90,9.90,Rep,99.90,9.79,Rep,99.90
TX-15,-8.074,46.600,-25.84,Dem,67.00,-45.27,Dem,35.58,-37.05,Dem,48.04,-38.30,Dem,45.83,-8.03,Dem,99.70,-15.54,Dem,86.23
TX-16,-17.415,38.800,-41.10,Dem,54.20,-44.75,Dem,48.04,-51.33,Dem,37.39,-17.30,Dem,99.90,-17.67,Dem,99.70,-17.26,Dem,99.70
TX-17,10.113,23.000,48.57,Rep,34.00,23.69,Rep,74.30,-32.80,Dem,31.33,10.29,Rep,99.60,10.27,Rep,99.60,10.04,Rep,99.80
TX-18,-26.355,59.000,-65.76,Dem,26.40,-58.73,Dem,36.55,-41.33,Dem,68.47,-45.83,Dem,59.44,-27.01,Dem,98.59,-18.37,Dem,83.53
TX-19,23.737,29.000,50.67,Rep,47.00,38.28,Rep,69.88,54.40,Rep,40.16,23.98,Rep,99.40,23.02,Rep,98.80,15.48,Rep,83.53
TX-20,-11.426,47.600,-25.36,Dem,73.20,-44.48,Dem,40.36,-46.47,Dem,37.55,-38.15,Dem,50.80,-12.64,Dem,97.79,-41.73,Dem,44.78
TX-21,8.060,6.600,53.53,Rep,25.80,-29.52,Dem,37.99,47.81,Rep,32.16,8.00,Rep,99.90,18.45,Rep,80.40,-15.26,Dem,58.89
TX-22,8.334,24.600,45.78,Rep,36.00,24.14,Rep,70.55,40.02,Rep,43.62,8.54,Rep,99.50,8.25,Rep,99.70,15.01,Rep,87.84
TX-23,-0.301,49.400,32.75,Rep,44.20,-36.65,Dem,38.39,-37.61,Dem,37.19,-16.74,Dem,70.35,17.70,Rep,67.74,-14.15,Dem,74.97
TX-24,7.328,18.200,53.64,Rep,25.00,25.82,Rep,65.86,42.29,Rep,38.76,26.68,Rep,64.26,7.22,Rep,100.00,24.06,Rep,68.88
TX-25,9.250,21.200,29.67,Rep,62.80,45.59,Rep,36.38,53.76,Rep,25.73,9.26,Rep,99.90,21.54,Rep,76.98,24.05,Rep,72.36
TX-26,15.819,27.400,56.73,Rep,28.60,38.87,Rep,55.62,63.82,Rep,19.88,25.03,Rep,81.73,24.90,Rep,82.33,42.61,Rep,49.20
TX-27,11.598,17.000,50.22,Rep,33.00,-28.80,Dem,34.74,60.71,Rep,20.08,42.69,Rep,43.37,19.50,Rep,84.74,11.74,Rep,99.40
TX-28,-10.320,76.400,-38.74,Dem,48.00,29.43,Rep,35.14,-43.63,Dem,40.76,4.87,Rep,72.29,-10.26,Dem,99.80,-10.24,Dem,99.80
TX-29,-19.204,11.600,-55.16,Dem,33.80,-62.69,Dem,23.90,-28.01,Dem,82.53,-19.17,Dem,99.60,-23.34,Dem,91.97,-22.50,Dem,93.78
TX-30,-28.719,58.000,-30.65,Dem,95.60,-30.84,Dem,95.58,-74.24,Dem,18.88,-25.86,Dem,93.78,-40.80,Dem,74.10,-18.97,Dem,79.72
TX-31,8.640,34.000,24.61,Rep,70.80,-19.01,Dem,52.06,-27.85,Dem,39.40,29.79,Rep,60.90,8.66,Rep,99.90,27.50,Rep,64.92
TX-32,3.503,25.000,26.37,Rep,59.40,-32.52,Dem,39.76,37.71,Rep,40.76,11.03,Rep,86.14,3.57,Rep,99.80,3.47,Rep,100.00
TX-33,-22.975,64.200,-44.78,Dem,55.80,-70.62,Dem,18.29,-54.50,Dem,39.20,-31.05,Dem,83.22,-23.13,Dem,99.30,-24.07,Dem,97.69
TX-34,-10.986,61.800,-29.77,Dem,64.40,-38.61,Dem,49.25,-49.34,Dem,32.96,5.04,Rep,70.95,-23.31,Dem,76.58,-10.75,Dem,99.50
TX-35,-15.391,52.600,-46.16,Dem,42.60,-48.36,Dem,39.56,-61.04,Dem,22.49,-28.77,Dem,74.10,-11.80,Dem,92.97,-22.52,Dem,86.14
TX-36,22.975,20.000,44.81,Rep,56.80,75.38,Rep,13.87,42.16,Rep,60.70,23.05,Rep,99.70,23.07,Rep,99.50,23.16,Rep,99.30
UT-01,21.896,39.400,52.59,Rep,41.00,48.10,Rep,47.79,50.59,Rep,43.57,27.37,Rep,88.35,34.85,Rep,72.89,21.92,Rep,99.80
UT-02,13.810,31.800,55.00,Rep,29.00,42.89,Rep,45.83,55.60,Rep,27.54,13.95,Rep,99.70,13.97,Rep,99.70,29.32,Rep,69.75
UT-03,21.574,38.000,52.28,Rep,41.00,62.27,Rep,25.90,50.76,Rep,42.57,21.47,Rep,100.00,21.58,Rep,99.60,31.16,Rep,79.92
UT-04,11.655,66.200,61.25,Rep,20.00,54.83,Rep,26.31,47.06,Rep,36.55,22.95,Rep,78.31,11.80,Rep,99.80,11.52,Rep,99.80
VT-01,-15.713,51.800,-33.42,Dem,65.20,-41.30,Dem,51.20,-42.22,Dem,49.60,-15.67,Dem,99.80,-15.63,Dem,99.80,-24.17,Dem,83.53
VA-01,6.390,35.200,-21.47,Dem,51.80,22.77,Rep,69.68,40.56,Rep,39.96,30.77,Rep,55.42,18.71,Rep,76.91,-14.35,Dem,63.25
VA-02,1.773,64.600,-34.93,Dem,38.00,27.67,Rep,53.82,-27.38,Dem,49.20,15.23,Rep,75.50,11.46,Rep,82.13,-7.39,Dem,83.33
VA-03,-15.751,45.000,-65.97,Dem,17.80,-45.01,Dem,45.18,-46.31,Dem,42.97,-15.83,Dem,100.00,-15.62,Dem,99.60,-15.82,Dem,100.00
VA-04,-10.757,50.400,-56.39,Dem,23.80,16.31,Rep,52.81,-37.24,Dem,51.41,-26.33,Dem,70.68,-27.58,Dem,68.47,-10.66,Dem,99.60
VA-05,5.659,29.200,-27.20,Dem,44.00,-34.82,Dem,33.97,43.96,Rep,34.37,16.29,Rep,80.20,5.53,Rep,99.90,5.70,Rep,99.70
VA-06,12.520,12.200,49.61,Rep,34.80,29.06,Rep,68.47,48.97,Rep,34.94,12.41,Rep,99.80,12.74,Rep,99.60,44.91,Rep,41.16
VA-07,3.450,63.000,-23.10,Dem,53.40,44.82,Rep,30.92,40.03,Rep,37.35,3.30,Rep,99.80,3.43,Rep,100.00,3.50,Rep,99.60
VA-08,-25.480,72.000,-59.22,Dem,34.40,-27.89,Dem,94.87,-54.15,Dem,42.81,-30.78,Dem,89.05,-35.58,Dem,78.79,-25.65,Dem,99.70
VA-09,20.393,35.800,53.43,Rep,38.20,63.36,Rep,24.10,50.13,Rep,42.77,20.38,Rep,100.00,20.17,Rep,99.60,36.89,Rep,66.87
VA-10,-5.014,37.600,-42.93,Dem,35.20,-20.12,Dem,72.49,-44.90,Dem,32.73,-17.32,Dem,77.51,-5.04,Dem,100.00,11.91,Rep,69.28
VA-11,-19.451,77.200,-44.38,Dem,51.20,-41.55,Dem,56.48,-64.10,Dem,22.51,-19.37,Dem,99.90,-12.54,Dem,86.23,-26.11,Dem,86.83
WA-01,-6.909,61.200,-42.68,Dem,37.80,-45.59,Dem,33.57,-35.23,Dem,49.05,-38.50,Dem,44.02,-6.80,Dem,99.70,-24.40,Dem,67.74
WA-02,-11.018,52.400,-31.05,Dem,61.80,-30.92,Dem,62.71,-61.29,Dem,19.10,-20.47,Dem,81.81,-19.64,Dem,83.42,-19.22,Dem,84.22
WA-03,2.357,42.800,-38.61,Dem,32.80,-40.25,Dem,30.75,48.12,Rep,26.13,14.27,Rep,78.19,21.21,Rep,67.54,10.70,Rep,84.62
WA-04,11.238,56.800,44.57,Rep,40.80,34.25,Rep,57.29,41.64,Rep,44.62,25.75,Rep,72.56,11.23,Rep,99.90,-10.71,Dem,60.90
WA-05,5.911,37.400,43.63,Rep,36.00,27.06,Rep,61.24,40.08,Rep,40.36,13.52,Rep,85.94,5.97,Rep,99.80,26.44,Rep,62.25
WA-06,-6.898,56.000,-41.49,Dem,39.40,-45.57,Dem,33.94,-29.13,Dem,59.44,-19.74,Dem,76.10,-13.08,Dem,88.76,16.34,Rep,59.04
WA-07,-31.242,26.200,-51.47,Dem,56.20,-46.08,Dem,67.54,-60.68,Dem,39.60,-24.47,Dem,85.43,-29.41,Dem,96.08,-31.27,Dem,99.90
WA-08,-1.183,44.600,26.16,Rep,52.60,-38.13,Dem,37.35,-24.87,Dem,57.83,8.59,Rep,82.33,-3.65,Rep,95.38,26.24,Rep,51.81
WA-09,-21.172,84.800,-44.15,Dem,54.20,-53.27,Dem,38.79,-48.93,Dem,46.03,-17.38,Dem,92.46,-18.40,Dem,94.47,-14.19,Dem,86.43
WA-10,-6.801,55.400,-32.53,Dem,53.00,-40.06,Dem,41.61,-33.60,Dem,51.66,-11.44,Dem,91.46,-6.79,Dem,99.90,-18.89,Dem,77.39
WV-01,17.017,75.000,44.07,Rep,49.40,17.03,Rep,99.90,36.80,Rep,61.31,44.86,Rep,47.04,28.08,Rep,78.39,23.31,Rep,87.64
WV-02,14.636,26.200,57.93,Rep,26.20,49.62,Rep,36.35,33.61,Rep,63.45,14.63,Rep,100.00,14.72,Rep,99.60,43.63,Rep,45.98
WV-03,20.032,50.200,39.90,Rep,61.00,20.00,Rep,99.80,49.47,Rep,43.57,27.33,Rep,85.34,20.00,Rep,100.00,20.00,Rep,100.00
WI-01,3.633,35.200,19.27,Rep,72.20,39.42,Rep,38.79,-38.16,Dem,32.16,12.05,Rep,84.62,3.54,Rep,99.90,16.91,Rep,75.78
WI-02,-18.321,34.000,-52.88,Dem,36.00,-45.29,Dem,48.24,-51.10,Dem,38.59,-30.80,Dem,75.38,-18.21,Dem,99.50,-18.29,Dem,99.70
WI-03,-1.559,56.000,-44.37,Dem,29.80,-34.90,Dem,42.77,-37.53,Dem,38.76,-7.52,Dem,88.96,-1.37,Dem,99.60,-1.60,Dem,99.80
WI-04,-24.989,44.200,-60.46,Dem,32.20,-70.48,Dem,19.90,-24.81,Dem,99.70,-24.94,Dem,99.90,-24.86,Dem,99.70,-24.82,Dem,99.70
WI-05,10.972,17.400,37.10,Rep,52.40,22.11,Rep,78.71,42.38,Rep,43.17,22.32,Rep,78.31,23.51,Rep,76.10,45.24,Rep,38.76
WI-06,6.117,16.200,54.52,Rep,23.00,24.85,Rep,65.46,47.10,Rep,31.12,42.13,Rep,37.75,6.08,Rep,100.00,20.44,Rep,73.49
WI-07,5.999,26.600,57.22,Rep,20.00,63.52,Rep,14.06,51.21,Rep,25.70,18.97,Rep,75.90,10.12,Rep,92.17,24.95,Rep,65.06
WI-08,5.402,34.400,41.12,Rep,38.80,45.91,Rep,31.73,30.46,Rep,54.82,11.30,Rep,88.96,5.46,Rep,99.60,5.45,Rep,99.80
WY-01,21.710,43.600,72.22,Rep,16.60,44.79,Rep,53.82,42.60,Rep,58.03,21.65,Rep,100.00,21.66,Rep,100.00,21.62,Rep,99.80
AL-01,13.420,21.800,53.72,Rep,30.20,47.75,Rep,37.95,54.88,Rep,28.31,21.63,Rep,83.94,13.46,Rep,99.80,39.40,Rep,51.41
